X,Y,u_x,u_y,,X1,Y1,sigma_xx,sigma_yy,sigma_xy
0.210375483,1.299007592,0.002753479,-0.459524302,,0.254519965,0.680702608,-0.939876075,-2.32672287,0.005708855
0.210375483,1.374007592,0.002734199,-0.47865688,,0.255293134,0.739304555,-0.912305119,-2.269396664,0.005268568
0.210375483,1.299007592,0.002753479,-0.459524302,,0.255781307,0.603590717,-0.97656748,-2.401985926,0.00632644
0.210375483,1.374007592,0.002734199,-0.47865688,,0.257057576,2.981073296,-0.001455499,-0.018976874,-3.12829E-05
0.210486942,1.451660805,0.00269713,-0.497581869,,0.259584741,0.814707813,-0.877218502,-2.195463396,0.004748537
0.210598402,1.529314018,0.00264204,-0.515602231,,0.260494439,0.992817188,-0.796268788,-2.020162703,0.003291808
0.210709861,1.606967231,0.002569945,-0.53271327,,0.261027464,1.051148182,-0.770316654,-1.962531364,0.002812931
0.210709861,1.681967231,0.002483963,-0.548372314,,0.261677176,0.9166935,-0.830536083,-2.095202073,0.003942599
0.210709861,1.606967231,0.002569945,-0.53271327,,0.262675861,1.304005103,-0.660907706,-1.711471038,0.000758151
0.210709861,1.681967231,0.002483963,-0.548372314,,0.262832262,1.362204698,-0.636406259,-1.653407512,0.000301934
0.210724087,1.759777878,0.002380614,-0.56371334,,0.263193718,1.614028773,-0.533040094,-1.401059285,-0.001515512
0.210738312,1.837588526,0.002264095,-0.578129147,,0.263225435,1.672187724,-0.509724239,-1.342541522,-0.001887279
0.210752538,1.915399173,0.002135969,-0.591616343,,0.263271567,1.924522349,-0.410531163,-1.087791481,-0.00320989
0.210752538,1.990399173,0.002002937,-0.603734695,,0.26331141,1.98297536,-0.387927487,-1.028613629,-0.003436998
0.210752538,1.915399173,0.002135969,-0.591616343,,0.263777279,2.238578281,-0.290095519,-0.769393553,-0.003994916
0.210752538,1.990399173,0.002002937,-0.603734695,,0.263899834,0.264972638,-1.143283482,-2.730493771,0.008880843
0.210896195,2.069217642,0.001856287,-0.615534826,,0.263984654,2.298189124,-0.267402442,-0.708886308,-0.004010603
0.211039851,2.148036111,0.001703113,-0.626374574,,0.264299275,1.126477701,-0.737181956,-1.887935938,0.00221731
0.211183508,2.226854579,0.001545576,-0.63625245,,0.264962409,1.228199601,-0.693172668,-1.786937246,0.001379732
0.211183508,2.301854579,0.001392817,-0.644757934,,0.26573179,1.437337413,-0.605109076,-1.578296115,-0.000271982
0.211183508,2.226854579,0.001545576,-0.63625245,,0.2658772,1.53864381,-0.563537572,-1.476776383,-0.001013257
0.211183508,2.301854579,0.001392817,-0.644757934,,0.265945817,0.018926704,-1.269717669,-2.967551109,0.010159197
0.211861608,2.384253318,0.001229485,-0.653097076,,0.266033227,1.747581685,-0.479756521,-1.266559783,-0.002359079
0.212539707,2.466652056,0.001068518,-0.660384359,,0.266051785,1.84909347,-0.439870852,-1.164070411,-0.00289939
0.213217806,2.549050795,0.000913038,-0.666621207,,0.266183684,2.565402615,-0.165338346,-0.437845277,-0.003466063
0.213217806,2.624050795,0.000776856,-0.671387046,,0.266247782,2.059477906,-0.358494685,-0.951090426,-0.003720923
0.213217806,2.549050795,0.000913038,-0.666621207,,0.266435196,2.162304495,-0.319164126,-0.84679878,-0.003950316
0.213217806,2.624050795,0.000776856,-0.671387046,,0.266978488,2.630438592,-0.140248469,-0.372005127,-0.003163165
0.21568924,2.724367196,0.000618596,-0.676407435,,0.267455333,2.378384632,-0.23687353,-0.627489724,-0.004001452
0.218160673,2.824683598,0.000482878,-0.679886737,,0.268339981,2.485882042,-0.195849508,-0.518437258,-0.003782036
0.218726967,0.172811526,0.000714677,-0.074657155,,0.272249842,2.728649923,-0.102050006,-0.272758317,-0.002606864
0.220632106,2.925,0.000379531,-0.681834776,,0.274993177,2.955757844,-0.01178671,-0.0443578,-0.000438555
0.220632106,3,0.00032881,-0.68229645,,0.275474074,2.85952272,-0.050371517,-0.140925803,-0.001492723
